Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
4.2.2.1,2019-04-12,684287,488330,71015,127797,139228,61675,32936,55679
4.2.2.2,2019-04-12,684287,476268,69533,125244,136261,56415,32068,56747
4.2.2.3,2019-04-12,684287,511996,75363,133938,144569,64345,34382,59399
4.2.2.4,2019-04-12,684287,501441,72905,130438,139456,58948,34416,65278
4.2.2.5,2019-04-12,684287,523374,76045,137159,149135,65479,35114,60442
4.2.2.6,2019-04-12,684287,513669,74164,134826,142868,60028,35330,66453
4.17.179.2,2019-04-11,684287,17997,419,450,980,937,1174,14037
8.2.208.1,2019-04-11,684287,39714,527,764,2652,3380,6309,26082
8.2.208.2,2019-04-10,684287,53652,521,971,3814,4622,7725,35999
8.5.244.5,4/12/2019,684287,82423,1270,4392,11875,14128,11025,39733
8.8.4.4,4/12/2019,684287,566383,193393,112635,98664,55068,39194,67429
8.8.8.8,4/12/2019,684287,566584,191130,117157,99694,53806,38490,66307
8.8.192.35,4/8/2019,684287,7152,279,400,538,785,1544,3606
8.8.192.36,4/11/2019,684287,7362,267,398,538,846,1648,3665
