Resolver IP,Last Event Date,Attempted Rankings,Successful Rankings,Top 10 Count,Top 25 Count,Top 50 Count,Top 75 Count,Top 100 Count,Top 200 Count
4.2.2.1,4/12/2019,684287,488330,71015,127797,139228,61675,32936,55679
4.2.2.2,4/12/2019,684287,476268,69533,125244,136261,56415,32068,56747
4.2.2.3,4/12/2019,684287,511996,75363,133938,144569,64345,34382,59399
4.2.2.4,4/12/2019,684287,501441,72905,130438,139456,58948,34416,65278
4.2.2.5,4/12/2019,684287,523374,76045,137159,149135,65479,35114,60442
4.2.2.6,4/12/2019,684287,513669,74164,134826,142868,60028,35330,66453
4.17.179.2,4/11/2019,684287,17997,419,450,980,937,1174,14037
8.2.208.1,4/11/2019,684287,39714,527,764,2652,3380,6309,26082
8.2.208.2,4/10/2019,684287,53652,521,971,3814,4622,7725,35999
8.5.244.5,4/12/2019,684287,82423,1270,4392,11875,14128,11025,39733
8.8.4.4,4/12/2019,684287,566383,193393,112635,98664,55068,39194,67429
8.8.8.8,4/12/2019,684287,566584,191130,117157,99694,53806,38490,66307
8.8.192.35,4/8/2019,684287,7152,279,400,538,785,1544,3606
8.8.192.36,4/11/2019,684287,7362,267,398,538,846,1648,3665
8.10.118.8,4/11/2019,684287,2529,198,335,373,315,294,1014
8.10.118.9,4/11/2019,684287,2531,172,312,393,326,268,1060
8.15.12.5,4/12/2019,684287,147633,3047,8660,19998,24196,18849,72883
12.10.245.202,4/11/2019,684287,2490,172,329,330,316,300,1043
12.17.136.131,4/11/2019,684287,6010,667,858,763,466,537,2719
12.25.93.2,4/10/2019,684287,8473,199,409,588,729,992,5556
12.25.232.115,4/11/2019,684287,53206,483,1404,4660,8146,6636,31877
12.27.222.9,4/10/2019,684287,17748,302,672,1848,2182,2075,10669
12.27.240.3,4/11/2019,684287,9676,340,537,716,765,896,6422
12.32.34.32,4/11/2019,684287,10906,240,558,1502,2423,1274,4909
12.32.34.33,4/11/2019,684287,10851,262,560,1511,2375,1313,4830
12.68.121.131,4/11/2019,684287,2429,138,263,404,315,297,1012
12.68.121.133,4/11/2019,684287,2415,142,254,444,322,308,945
12.96.51.35,4/11/2019,684287,2404,147,238,421,295,272,1031
12.106.80.10,4/11/2019,684287,11251,250,435,1245,1073,1334,6914
12.106.254.37,4/10/2019,684287,7194,185,369,1705,1676,654,2605
12.109.193.94,4/11/2019,684287,7026,152,341,655,578,653,4647
12.127.16.67,4/12/2019,684287,348025,22422,45432,69875,40009,34847,135440
12.127.17.71,4/12/2019,684287,347671,22744,45339,69911,42060,36481,131136
12.158.132.6,4/10/2019,684287,5612,171,287,514,494,692,3454
12.160.140.10,4/11/2019,684287,17800,357,528,1122,1527,2449,11817
12.160.140.11,4/10/2019,684287,16618,338,512,1033,1503,2253,10979
12.162.224.2,4/11/2019,684287,30210,468,763,2979,4558,5254,16188
12.166.30.2,4/10/2019,684287,12164,190,410,1253,2758,2694,4859
12.167.129.131,4/11/2019,684287,2374,135,232,407,304,304,992
12.173.168.201,4/11/2019,684287,39814,718,2558,6860,4720,4925,20033
12.175.181.41,4/11/2019,684287,2466,145,218,411,309,280,1103
12.186.41.1,4/10/2019,684287,2816,162,262,425,340,321,1306
12.231.192.230,4/8/2019,684287,2411,132,198,410,310,270,1091
18.70.0.160,4/10/2019,684287,20742,1579,533,1428,2552,2804,11846
18.71.0.151,4/10/2019,684287,20812,1583,540,1350,2557,2911,11871
18.72.0.3,4/10/2019,684287,20649,1576,551,1425,2474,2934,11689
18.85.2.138,4/12/2019,684287,64345,1935,1119,3147,6093,7402,44649
24.25.5.149,4/12/2019,684287,19172,2208,884,1944,2332,2431,9373
24.25.5.150,4/12/2019,684287,20542,2392,894,1992,2704,2537,10023
24.25.195.1,4/10/2019,684287,2292,115,200,364,329,291,993
24.25.195.2,4/10/2019,684287,2279,132,210,311,329,296,1001
24.25.195.3,4/10/2019,684287,2281,111,212,320,345,276,1017
24.25.227.53,4/12/2019,684287,5275,755,204,340,407,497,3072
24.25.227.55,4/12/2019,684287,6687,804,217,353,442,638,4233
24.29.103.15,4/12/2019,684287,19949,1042,1317,2301,3804,3147,8338
24.29.103.16,4/12/2019,684287,20614,1057,1487,2450,3941,3195,8484
24.30.199.7,4/11/2019,684049,2345,144,174,326,370,309,1022
24.30.200.3,4/11/2019,684049,2303,108,188,309,382,315,1001
24.30.200.19,4/10/2019,684049,2358,130,187,306,379,289,1067
24.30.201.3,4/10/2019,684049,2286,114,206,318,336,280,1032
24.35.0.12,4/11/2019,684287,51015,373,1547,6157,10149,9316,23473
24.35.0.13,4/11/2019,684287,51442,399,1571,6265,10338,9528,23341
24.56.130.2,4/11/2019,684287,2367,124,203,352,381,267,1040
24.89.0.21,4/11/2019,684287,39256,390,950,2901,4552,6022,24441
24.89.0.22,4/11/2019,684287,38572,382,874,2932,4529,6150,23705
24.93.1.119,4/12/2019,684287,2286,130,178,311,363,315,989
24.93.41.125,4/12/2019,684287,18507,827,806,2348,2055,2672,9799
24.102.55.4,4/10/2019,684287,45530,1397,4100,3247,4099,4837,27850
24.102.62.102,4/11/2019,684287,2276,134,167,290,333,289,1063
24.113.32.29,4/11/2019,684287,17190,725,1383,2085,1569,1491,9937
24.113.32.30,4/11/2019,684287,21073,918,1968,2506,1606,1791,12284
24.116.33.232,4/11/2019,684287,7347,167,229,480,568,722,5181
24.116.39.12,4/10/2019,684287,2264,110,185,316,333,311,1009
24.116.197.232,4/10/2019,684287,3120,142,199,403,428,383,1565
24.116.199.232,4/9/2019,684287,6095,178,249,493,579,860,3736
24.116.200.232,4/11/2019,684287,3546,139,217,375,422,442,1951
24.116.209.232,4/11/2019,684287,7082,122,236,405,475,548,5296
24.116.212.232,4/7/2019,684287,4967,161,224,437,570,782,2793
24.116.214.232,4/11/2019,684287,4078,153,230,414,711,741,1829
24.116.215.232,4/11/2019,684287,8481,164,275,639,1359,1399,4645
24.116.221.232,4/11/2019,684287,5509,143,233,431,479,736,3487
24.116.222.232,4/11/2019,684287,5638,171,230,775,1004,945,2513
24.117.104.232,4/10/2019,684287,7024,174,247,514,584,1259,4246
24.124.0.1,4/11/2019,684287,2325,168,198,316,285,323,1035
24.129.114.64,4/11/2019,684287,2182,106,179,278,285,316,1018
24.143.128.68,4/11/2019,684287,2162,104,166,286,276,300,1030
24.149.0.6,4/10/2019,684287,2160,126,191,248,277,308,1010
24.151.8.210,4/12/2019,684287,13128,1132,241,525,770,1457,9003
24.151.8.211,4/12/2019,684287,17026,1143,257,532,900,1815,12379
24.153.22.136,4/9/2019,684287,2190,104,156,307,286,315,1022
24.153.22.137,4/11/2019,684287,2231,112,177,290,282,345,1025
24.153.22.144,4/11/2019,684287,2176,102,167,293,287,339,988
24.153.22.153,4/10/2019,684287,2077,96,176,289,248,296,972
24.153.22.154,4/11/2019,684287,2165,123,153,297,270,329,993
24.153.23.8,4/7/2019,684287,2188,108,176,295,286,320,1003
24.153.23.9,4/11/2019,684287,2234,129,163,290,281,303,1068
24.153.23.15,4/10/2019,684287,2295,118,177,306,304,342,1048
24.153.23.25,4/10/2019,684287,2252,139,156,299,285,288,1085
24.153.23.26,4/9/2019,684287,2209,113,173,295,286,306,1036
24.158.63.8,4/11/2019,684287,8244,1466,488,1106,649,1003,3532
24.158.63.9,4/10/2019,684287,8470,1502,508,1141,703,1055,3561
24.158.63.28,4/9/2019,684287,2491,200,223,336,343,296,1093
24.158.63.29,4/12/2019,684287,2371,197,180,322,323,300,1049
24.158.96.10,4/12/2019,684287,8670,1068,729,1324,648,606,4295
24.158.96.130,4/12/2019,684287,19458,1277,991,2662,2320,2166,10042
24.159.193.40,4/12/2019,684287,13024,1701,306,524,949,1295,8249
24.176.125.6,4/11/2019,684287,2393,131,167,257,299,336,1203
24.177.176.38,4/12/2019,684287,13305,845,372,1666,1465,1161,7796
24.196.64.53,4/12/2019,684287,12071,1706,325,801,991,1058,7190
24.197.96.15,4/10/2019,684287,2741,354,167,458,335,297,1130
24.197.96.16,4/9/2019,684287,6604,333,300,1098,1025,634,3214
24.197.97.132,4/12/2019,684287,8776,1509,736,984,628,923,3996
24.197.97.134,4/11/2019,684287,2832,311,216,392,357,327,1229
24.197.97.136,4/12/2019,684287,9841,1741,828,1119,775,1027,4351
24.197.97.137,4/12/2019,684287,9836,1745,802,1128,783,1031,4347
24.197.160.17,4/11/2019,684287,13090,1476,1342,1457,1220,1404,6191
24.197.160.18,4/8/2019,684287,14903,1793,1430,1608,1443,1609,7020
24.197.160.61,4/11/2019,684287,1988,99,166,253,263,247,960
24.200.241.37,4/11/2019,684287,3262,1320,172,272,248,251,999
24.200.243.189,4/11/2019,684287,3409,1474,178,218,253,269,1017
24.201.245.77,4/9/2019,684287,3866,1465,169,280,310,306,1336
24.205.1.14,4/12/2019,684287,10356,1030,753,1359,1318,1103,4793
24.205.224.36,4/12/2019,684287,8098,682,751,1852,1013,574,3226
24.206.220.45,4/11/2019,684287,2045,120,163,266,262,260,974
24.212.0.7,4/10/2019,684287,4014,156,232,640,513,477,1996
24.212.0.8,4/9/2019,684287,3993,152,220,598,535,454,2034
24.217.0.3,4/12/2019,684287,20980,1494,649,2255,2717,3150,10715
24.217.0.4,4/12/2019,684287,21457,1553,666,2421,2668,3248,10901
24.222.0.33,4/7/2019,684287,4469,413,163,321,392,402,2778
24.222.0.75,4/10/2019,684287,2051,112,158,248,251,263,1019
